This is a test scenario,,,,,,,,,
OSMFILE,scotland-latest.osm.pbf,,,,,,,,
,Latitude,Longitude,Emissions,Speed,Capacity,cost/km,fixedCost,Identity,Route
VEHICLE,55.933366,-3.312951,3.21,50,400,10,500,ConventionalVan,car
RVVEHICLE,55.933366,-3.312951,0,20,30,5,100,bike,bike
RVVEHICLE,55.933366,-3.312951,0,10,15,5,50,walk,foot
RVVEHICLE,55.933366,-3.312951,0,50,200,7,750,electric van,car
,Latitude,Longitude,Name (optional),,,,,,
RVPOINT,55.951744,-3.190667,Micro Depot 1,,,,,,
RVPOINT,55.953799,-3.182706,Micro Depot 2,,,,,,
RVPOINT,55.961186,-3.186546,Micro Depot 3,,,,,,
RVPOINT,55.954827,-3.194715,Micro Depot 4,,,,,,
RVPOINT,55.951788,-3.203384,Micro Depot 5,,,,,,
RVPOINT,55.95067,-3.208985,Micro Depot 6,,,,,,
RVPOINT,55.947378,-3.213013,Micro Depot 7,,,,,,
RVPOINT,55.947618,-3.209193,Micro Depot 8,,,,,,
RVPOINT,55.945886,-3.217218,Micro Depot 9,,,,,,
RVPOINT,55.943651,-3.204065,Micro Depot 10,,,,,,
RVPOINT,55.94424,-3.194259,Micro Depot 11,,,,,,
RVPOINT,55.945754,-3.187242,Micro Depot 12,,,,,,
RVPOINT,55.94085,-3.214002,Micro Depot 13,,,,,,
RVPOINT,55.939593,-3.204741,Micro Depot 14,,,,,,
RVPOINT,55.950571,-3.176596,Micro Depot 15,,,,,,
,,,,,,,,,
,Latitude,Longitude,Weight,RND,,,,,
DELIVERY,55.949332,-3.194235,8,0.940494987,,,,,
DELIVERY,55.956548,-3.18918,2,0.771875807,,,,,
DELIVERY,55.943218,-3.232954,2,0.211081531,,,,,
DELIVERY,55.95047,-3.188057,12,0.956094996,,,,,
DELIVERY,55.948776,-3.185811,8,0.115304184,,,,,
DELIVERY,55.949493,-3.193391,2,0.880416476,,,,,
DELIVERY,55.952014,-3.189547,5,0.812616094,,,,,
DELIVERY,55.958704,-3.190535,8,0.615661222,,,,,
DELIVERY,55.952239,-3.199816,2,0.776699354,,,,,
DELIVERY,55.952335,-3.205268,2,0.09821556,,,,,
DELIVERY,55.945762,-3.190827,5,0.206210794,,,,,
DELIVERY,55.95357,-3.189355,2,0.81025978,,,,,
DELIVERY,55.956988,-3.182318,2,0.547349811,,,,,
DELIVERY,55.953496,-3.204956,5,0.432209861,,,,,
DELIVERY,55.950309,-3.184224,2,0.687439996,,,,,
DELIVERY,55.949786,-3.177943,2,0.775280383,,,,,
DELIVERY,55.947764,-3.178357,8,0.983996328,,,,,
DELIVERY,55.949059,-3.185576,20,0.424999621,,,,,
DELIVERY,55.946318,-3.1997,5,0.766445158,,,,,
DELIVERY,55.94745,-3.184211,2,0.574825713,,,,,
DELIVERY,55.947968,-3.203289,8,0.916810059,,,,,
DELIVERY,55.94979,-3.188708,8,0.995214663,,,,,
DELIVERY,55.949654,-3.185101,2,0.007154508,,,,,
DELIVERY,55.955327,-3.202894,2,0.402099221,,,,,
DELIVERY,55.954833,-3.188431,10,0.390853267,,,,,
DELIVERY,55.94817,-3.187121,2,0.477377048,,,,,
DELIVERY,55.95679,-3.192431,10,0.480598594,,,,,
DELIVERY,55.949729,-3.189411,2,0.335714521,,,,,
DELIVERY,55.94958,-3.190896,2,0.940615893,,,,,
DELIVERY,55.945006,-3.192103,2,0.560548525,,,,,
DELIVERY,55.959033,-3.188111,10,0.839872515,,,,,
DELIVERY,55.953737,-3.184115,5,0.147508174,,,,,
DELIVERY,55.952991,-3.1986,2,0.175101617,,,,,
DELIVERY,55.950736,-3.190275,10,0.36670836,,,,,
DELIVERY,55.95405,-3.187638,8,0.623747476,,,,,
DELIVERY,55.956072,-3.19849,2,0.950582559,,,,,
DELIVERY,55.950586,-3.186331,20,0.449031736,,,,,
DELIVERY,55.946851,-3.181104,8,0.129436927,,,,,
DELIVERY,55.953447,-3.192759,2,0.924441273,,,,,
DELIVERY,55.957293,-3.18536,8,0.791642497,,,,,
DELIVERY,55.948976,-3.209517,8,0.624331818,,,,,
DELIVERY,55.949302,-3.183637,8,0.972049383,,,,,
DELIVERY,55.951542,-3.182873,2,0.454991554,,,,,
DELIVERY,55.949287,-3.186851,8,0.528830706,,,,,
DELIVERY,55.955081,-3.196496,2,0.113950637,,,,,
DELIVERY,55.948314,-3.185877,12,0.61691591,,,,,
DELIVERY,55.947329,-3.19077,5,0.41437677,,,,,
DELIVERY,55.958799,-3.189065,2,0.53576007,,,,,
DELIVERY,55.955153,-3.195422,2,0.980983837,,,,,
DELIVERY,55.950299,-3.188083,2,0.117902625,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
