This is a test scenario,,,,,,,,,
OSMFILE,scotland-latest.osm.pbf,,,,,,,,
,Latitude,Longitude,Emissions,Speed,Capacity,cost/km,fixedCost,Identity,Route
VEHICLE,55.933366,-3.312951,3.21,50,400,10,500,ConventionalVan,car
RVVEHICLE,55.933366,-3.312951,0,20,30,5,100,bike,bike
RVVEHICLE,55.933366,-3.312951,0,10,15,5,50,walk,foot
RVVEHICLE,55.933366,-3.312951,0,50,200,7,750,electric van,car
,Latitude,Longitude,Name (optional),,,,,,
RVPOINT,55.951744,-3.190667,Micro Depot 1,,,,,,
RVPOINT,55.953799,-3.182706,Micro Depot 2,,,,,,
RVPOINT,55.961186,-3.186546,Micro Depot 3,,,,,,
RVPOINT,55.954827,-3.194715,Micro Depot 4,,,,,,
RVPOINT,55.951788,-3.203384,Micro Depot 5,,,,,,
RVPOINT,55.95067,-3.208985,Micro Depot 6,,,,,,
RVPOINT,55.947378,-3.213013,Micro Depot 7,,,,,,
RVPOINT,55.947618,-3.209193,Micro Depot 8,,,,,,
RVPOINT,55.945886,-3.217218,Micro Depot 9,,,,,,
RVPOINT,55.943651,-3.204065,Micro Depot 10,,,,,,
RVPOINT,55.94424,-3.194259,Micro Depot 11,,,,,,
RVPOINT,55.945754,-3.187242,Micro Depot 12,,,,,,
RVPOINT,55.94085,-3.214002,Micro Depot 13,,,,,,
RVPOINT,55.939593,-3.204741,Micro Depot 14,,,,,,
RVPOINT,55.950571,-3.176596,Micro Depot 15,,,,,,
,,,,,,,,,
,Latitude,Longitude,Weight,RND,,,,,
DELIVERY,55.95047,-3.188057,12,0.852518856,,,,,
DELIVERY,55.94994,-3.190859,2,0.800989313,,,,,
DELIVERY,55.954938,-3.186991,5,0.088449791,,,,,
DELIVERY,55.95357,-3.189355,2,0.504273921,,,,,
DELIVERY,55.949505,-3.189854,8,0.536691951,,,,,
DELIVERY,55.945762,-3.190827,5,0.767170988,,,,,
DELIVERY,55.952438,-3.201262,2,0.889507046,,,,,
DELIVERY,55.956548,-3.18918,2,0.660591382,,,,,
DELIVERY,55.947968,-3.203289,8,0.892077367,,,,,
DELIVERY,55.949786,-3.177943,2,0.367581537,,,,,
DELIVERY,55.946384,-3.198996,2,0.056810015,,,,,
DELIVERY,55.953737,-3.184115,5,0.870897621,,,,,
DELIVERY,55.945006,-3.192103,2,0.068886654,,,,,
DELIVERY,55.950736,-3.190275,10,0.099498425,,,,,
DELIVERY,55.952991,-3.1986,2,0.638507001,,,,,
DELIVERY,55.946851,-3.181104,8,0.876437047,,,,,
DELIVERY,55.948733,-3.185584,2,0.572247808,,,,,
DELIVERY,55.95405,-3.187638,8,0.853030835,,,,,
DELIVERY,55.956235,-3.185607,8,0.049037352,,,,,
DELIVERY,55.947522,-3.203758,2,0.133974191,,,,,
DELIVERY,55.947742,-3.196092,10,0.483884529,,,,,
DELIVERY,55.949616,-3.188095,2,0.302473231,,,,,
DELIVERY,55.949332,-3.194235,8,0.334418743,,,,,
DELIVERY,55.947889,-3.192029,8,0.050281655,,,,,
DELIVERY,55.9462,-3.185662,5,0.875162182,,,,,
DELIVERY,55.956988,-3.182318,2,0.161052972,,,,,
DELIVERY,55.953496,-3.201219,8,0.13203078,,,,,
DELIVERY,55.945682,-3.190648,2,0.617825847,,,,,
DELIVERY,55.94745,-3.184211,2,0.436093562,,,,,
DELIVERY,55.953496,-3.204956,5,0.926861382,,,,,
DELIVERY,55.948976,-3.209517,8,0.359446615,,,,,
DELIVERY,55.952335,-3.205268,2,0.347566619,,,,,
DELIVERY,55.957073,-3.190021,8,0.587676545,,,,,
DELIVERY,55.958799,-3.189065,2,0.815432844,,,,,
DELIVERY,55.94979,-3.188708,8,0.191964126,,,,,
DELIVERY,55.954833,-3.188431,10,0.147059974,,,,,
DELIVERY,55.958704,-3.190535,8,0.473978349,,,,,
DELIVERY,55.950586,-3.186331,20,0.406718101,,,,,
DELIVERY,55.950309,-3.184224,2,0.501769917,,,,,
DELIVERY,55.948193,-3.184672,20,0.479096699,,,,,
DELIVERY,55.947909,-3.188971,2,0.971567966,,,,,
DELIVERY,55.952799,-3.205342,5,0.366184415,,,,,
DELIVERY,55.94842,-3.186376,10,0.296836154,,,,,
DELIVERY,55.955153,-3.195422,2,0.373074706,,,,,
DELIVERY,55.951542,-3.182873,2,0.123046395,,,,,
DELIVERY,55.949355,-3.196526,8,0.072294432,,,,,
DELIVERY,55.948314,-3.185877,12,0.654224196,,,,,
DELIVERY,55.947764,-3.178357,8,0.075231725,,,,,
DELIVERY,55.949287,-3.186851,8,0.174328756,,,,,
DELIVERY,55.952875,-3.209494,2,0.870118685,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
