17,18
19,20
9,10
14,15
12,13
14,15
21,22
11,12
17,18
9,10
18,19
21,22
18,19
13,14
18,19
19,20
15,16
9,10
17,18
9,10
16,17
18,19
13,14
9,10
11,12
13,14
16,17
16,17
21,22
10,11
20,21
19,20
21,22
19,20
15,16
18,19
14,15
12,13
14,15
9,10
9,10
13,14
10,11
10,11
10,11
20,21
15,16
19,20
8,9
10,11
15,16
20,21
20,21
14,15
18,19
10,11
11,12
20,21
19,20
20,21
13,14
16,17
15,16
16,17
21,22
21,22
10,11
20,21
11,12
15,16
21,22
13,14
20,21
15,16
8,9
21,22
13,14
11,12
13,14
9,10
13,14
13,14
20,21
20,21
17,18
13,14
13,14
17,18
16,17
12,13
14,15
11,12
17,18
21,22
13,14
15,16
18,19
19,20
14,15
18,19
18,19
