9,15
14,20
11,17
11,17
11,17
8,14
8,14
11,17
12,18
16,22
11,17
8,14
14,20
8,14
10,16
14,20
16,22
15,21
13,19
9,15
16,22
15,21
9,15
10,16
9,15
11,17
8,14
9,15
9,15
13,19
14,20
9,15
15,21
16,22
9,15
14,20
14,20
14,20
13,19
11,17
9,15
10,16
13,19
10,16
13,19
14,20
13,19
8,14
16,22
9,15
15,21
11,17
11,17
14,20
14,20
9,15
11,17
16,22
13,19
15,21
9,15
16,22
13,19
14,20
15,21
16,22
14,20
9,15
13,19
15,21
16,22
10,16
12,18
15,21
12,18
13,19
16,22
11,17
16,22
10,16
13,19
9,15
11,17
16,22
14,20
14,20
9,15
9,15
16,22
8,14
10,16
16,22
8,14
15,21
9,15
12,18
10,16
11,17
16,22
9,15
10,16
