Problem	1.00	14.00					Problem	1.00	14.00	Problem			Problem		
A-n32-k5.vrp	6914925.37	90211910.50		14			A-n32-k5.vrp	6914925.37	90211910.50	B-n31-k5.vrp	626580.73	16943928.60	P-n16-k8.vrp	779011.02	2270002.16
A-n33-k5.vrp	21411224.55	165261964.39		14			A-n33-k5.vrp	21411224.55	165261964.39	B-n34-k5.vrp	1373133.26	69305517.30	P-n19-k2.vrp	548451.32	5386206.60
A-n33-k6.vrp	16850145.76	110228054.96		14			A-n33-k6.vrp	16850145.76	110228054.96	B-n35-k5.vrp	18278241.50	352172006.45	P-n20-k2.vrp	899673.17	9758862.52
A-n34-k5.vrp	33197010.54	341571125.95		14			A-n34-k5.vrp	33197010.54	341571125.95	B-n38-k6.vrp	10527863.68	164859336.59	P-n21-k2.vrp	1208400.01	15169884.04
A-n36-k5.vrp	7086971.75	188364549.17		14			A-n36-k5.vrp	7086971.75	188364549.17	B-n39-k5.vrp	78119314.52	742028589.90	P-n22-k2.vrp	974258.69	13322995.02
A-n37-k5.vrp	216783414.63	728663661.01		14			A-n37-k5.vrp	216783414.63	728663661.01	B-n41-k6.vrp	63198908.57	567392511.28	P-n22-k8.vrp	1737964.82	4140745.73
A-n37-k6.vrp	5751817.00	106798533.91		14			A-n37-k6.vrp	5751817.00	106798533.91	B-n43-k6.vrp	11035462.28	145484583.19	P-n23-k8.vrp	2861400.58	12641747.50
A-n38-k5.vrp	68438637.40	585797557.87		14			A-n38-k5.vrp	68438637.40	585797557.87	B-n44-k7.vrp	30823745.02	412545171.83	P-n40-k5.vrp	120666143.37	433630271.34
A-n39-k5.vrp	16846282.91	224852408.43		14			A-n39-k5.vrp	16846282.91	224852408.43	B-n45-k5.vrp	227227997.65	1429407150.79	P-n45-k5.vrp	75410670.59	398402056.17
A-n39-k6.vrp	191240522.20	705407274.66		14			A-n39-k6.vrp	191240522.20	705407274.66	B-n45-k6.vrp	34006887.94	282818742.57	P-n50-k10.vrp	180491591.76	606825458.17
A-n44-k7.vrp	19091062.31	282538880.35		14			A-n44-k7.vrp	19091062.31	282538880.35	B-n50-k7.vrp	380344198.02	2346931377.73	P-n50-k7.vrp	166704781.19	688318656.74
A-n45-k6.vrp	24462172.55	446566361.98		14			A-n45-k6.vrp	24462172.55	446566361.98	B-n50-k8.vrp	17684884.74	274803471.24	P-n50-k8.vrp	122017987.67	478565685.17
